,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
1083,1645957800,359387,12,2682487398,1.1636,1.0793,1.1004,1.2706,39349.6,39355.4,11578.892,117310.0
1084,1645959600,25405,0,2699044067,1.14,1.0737,1.0855,1.308,39482.0,39486.9,9250.438,87599.0
1085,1645961400,73538,0,2732506449,1.1254,1.0724,1.0644,0.7798,39463.4,39464.22103745,5725.764,56821.0
1086,1645963200,108275,45591,2746492534,1.1044,1.07,1.0412,1.0033,39434.4,39437.8,8482.863,79297.0
1087,1645965000,241662,0,2769424200,1.0704,1.0705,0.996,1.3627,39733.7,39731.1,12079.277,111225.0
1088,1645966800,1210,0,2816790051,1.0842,1.0734,1.0272,0.8004,39595.4,39593.82030415,7591.32,77327.0
1089,1645968600,0,605,2810371641,1.0768,1.0707,1.0125,0.881,39029.9,39040.64817554,39783.628,326995.0
1090,1645970400,0,400,2707506742,1.1594,1.0746,1.0799,0.9348,38883.9,38889.36950011,13083.37,129401.0
1091,1645972200,0,47517,2681548806,1.1753,1.0698,1.0929,1.0378,38773.2,38769.06120004,11132.988,106645.0
1092,1645974000,0,0,2664695468,1.193,1.0715,1.0991,1.3814,39295.9,39302.96628004,13058.973,122100.0
1093,1645975800,153,0,2682085532,1.2148,1.0726,1.1492,1.1308,39329.1,39339.1,10327.339,96118.0
1094,1645977600,0,0,2684325235,1.206,1.0731,1.1386,0.7935,38990.9,38997.22816123,8402.858,82898.0
1095,1645979400,0,1086,2652070319,1.1882,1.0776,1.1097,1.1127,39071.5,39073.98028221,5331.546,53578.0
1096,1645981200,0,0,2668482149,1.2036,1.0795,1.1286,0.9349,39043.9,39044.98217597,3595.247,38708.0
1097,1645983000,0,0,2669661221,1.2036,1.0804,1.129,0.798,38956.1,38956.73025684,3062.031,33777.0
1098,1645984800,0,9657,2662644324,1.2026,1.0796,1.1227,0.9907,39047.9,39047.8,6954.432,70411.0
1099,1645986600,0,0,2660325247,1.2114,1.0745,1.1331,0.7662,38900.1,38902.0,3570.439,40129.0
1100,1645988400,0,14180,2650969554,1.2158,1.0724,1.1327,0.7623,38585.8,38580.1,11841.149,107822.0
1101,1645990200,827898,3761814,2592753659,1.2619,1.0557,1.1782,0.7611,37574.7,37583.16450619,29163.38,266443.0
1102,1645992000,209475,450667,2491338704,1.317,1.0655,1.181,0.9512,37542.3,37540.7,17927.201,179548.0
1103,1645993800,48809,2665,2503507745,1.3883,1.0535,1.2578,1.2393,37947.1,37942.1,17201.81,153972.0
1104,1645995600,16183,1555085,2506313906,1.4366,1.054,1.3408,0.797,37347.5,37343.4,26775.431,238896.0
1105,1645997400,0,0,2485990923,1.4643,1.0372,1.3261,1.0596,37385.6,37389.9,10439.81,104047.0
1106,1645999200,0,0,2474315069,1.495,1.0337,1.368,1.0674,37599.8,37603.14036648,6521.866,72816.0
1107,1646001000,0,0,2496606958,1.4919,1.0278,1.3821,0.9473,37784.9,37784.67026248,7476.476,83311.0
1108,1646002800,0,761,2508199159,1.5013,1.0186,1.3975,1.1539,37555.9,37558.87372346,14368.307,123415.0
1109,1646004600,0,0,2489719401,1.5381,1.0229,1.4125,0.9248,37672.0,37675.1,6133.695,63973.0
1110,1646006400,0,0,2513314737,1.5478,1.0185,1.4272,0.9258,37555.6,37555.0627509,7738.219,69618.0
1111,1646008200,0,0,2512617314,1.419,1.0186,1.4114,0.959,37548.2,37545.0,5994.557,53222.0
1112,1646010000,3873,0,2523793597,1.4137,1.0235,1.401,1.3648,38134.2,38144.80887157,13284.895,111380.0
1113,1646011800,71395,0,2576880687,1.4015,1.0301,1.4307,0.9853,37948.4,37934.3213203,11320.836,94103.0
1114,1646013600,0,0,2565196777,1.3685,1.0284,1.3895,0.9963,37909.0,37912.23437428,5983.63,57404.0
1115,1646015400,0,0,2567523829,1.3878,1.0275,1.4102,0.8889,37747.5,37733.0,8097.035,70435.0
1116,1646017200,0,0,2560445162,1.4067,1.028,1.4231,1.18,37812.7,37817.38265606,5520.973,51098.0
1117,1646019000,25326,0,2574541685,1.4278,1.0337,1.4588,0.9233,37771.7,37765.72592339,3454.779,34905.0
1118,1646020800,5264,0,2573649870,1.4319,1.0334,1.4643,1.0384,37804.3,37804.47839615,6319.363,55578.0
1119,1646022600,0,0,2583002236,1.4462,1.0343,1.4925,1.0125,37791.8,37792.9,3077.75,33656.0
1120,1646024400,0,0,2587616484,1.4396,1.0349,1.4777,1.0575,37926.0,37927.9,5013.357,46449.0
1121,1646026200,0,0,2596980802,1.4355,1.0344,1.4771,0.9144,37811.0,37813.4,3189.537,34991.0
1122,1646028000,250613,0,2594030990,1.439,1.0353,1.4765,0.9273,37750.0,37741.92886082,17118.481,154385.0
1123,1646029800,0,0,2574517875,1.4474,1.0344,1.4795,1.1392,37959.9,37952.35936508,5994.409,59275.0
1124,1646031600,2954,0,2583561840,1.4325,1.0355,1.4685,1.1396,38184.0,38184.0,10097.521,95363.0
1125,1646033400,212591,3329,2601704871,1.3935,1.0363,1.4295,1.0466,38317.1,38317.68990599,11387.859,106158.0
1126,1646035200,134199,0,2626872000,1.3283,1.0309,1.3663,1.0992,38435.5,38439.03503664,11789.139,114713.0
1127,1646037000,0,192447,2647617332,1.3229,1.0257,1.3815,0.8363,38279.0,38282.17304969,7247.587,70960.0
1128,1646038800,0,0,2621971490,1.291,1.0246,1.3299,0.9394,38272.1,38272.2,8079.549,77442.0
1129,1646040600,0,0,2625170646,1.2732,1.0293,1.3105,1.0207,38077.0,38104.25555388,5528.494,54980.0
1130,1646042400,0,28708,2605949161,1.2686,1.031,1.2973,1.1472,38233.8,38235.10387705,5170.547,59261.0
1131,1646044200,0,0,2617280573,1.2645,1.0374,1.2878,1.1412,38352.6,38351.39485362,5563.51,55809.0
